,industry,rank,search_city,search_job,avg_sal,years_exp,degrees_total,sen_job_titles_total,languages_total,visualization_total,big_data_total,cloud_total,platform_total,ds_concepts_total,deep_learning_totals,log_avg_sal
328,12,2.9,3,0,62500.0,3,1,0,1,0,0,0,0,1,0,11.042937835596494
329,22,3.0,3,0,48000.0,2,2,0,0,0,0,0,0,2,0,10.778977123006351
330,12,3.9,3,0,91000.0,5,1,0,1,0,0,0,1,0,0,11.418625774449598
331,12,4.4,3,0,79000.0,3,0,0,0,0,0,1,0,1,0,11.277215789596893
332,12,4.2,3,0,76000.0,6,1,0,0,3,0,0,1,0,0,11.23850177707664
333,12,3.7,3,0,102000.0,7,1,0,1,0,0,0,0,0,0,11.532737896139919
334,12,3.4,3,0,42500.0,2,2,0,3,1,0,0,0,1,0,10.657282884047461
335,9,4.2,3,0,83000.0,4,1,0,0,0,0,0,0,0,0,11.326607934898927
336,1,4.1,3,0,78000.0,5,1,0,0,0,0,0,1,0,0,11.264476926102367
337,12,4.5,3,0,95000.0,5,0,1,4,2,1,1,2,2,0,11.461642696843066
338,24,3.9,3,0,48000.0,2,0,0,1,2,0,0,0,1,0,10.778977123006351
339,11,3.5,3,0,58500.0,3,1,0,0,0,0,0,1,0,0,10.97679912709094
340,10,3.9,3,0,72500.0,4,1,0,1,2,0,0,1,1,0,11.19135563385109
342,9,3.2,3,0,72500.0,2,1,0,0,0,0,0,0,0,0,11.19135563385109
343,12,3.7,3,0,72500.0,5,1,0,2,1,0,0,0,1,0,11.19135563385109
344,22,3.1,3,0,72500.0,2,2,0,0,0,0,0,0,2,0,11.19135563385109
345,1,4.1,3,0,109500.0,5,1,0,0,0,0,0,1,0,0,11.603688960617083
346,22,3.1,3,0,109500.0,4,1,0,0,0,0,0,1,0,0,11.603688960617083
347,12,3.7,3,0,70500.0,3,1,0,1,1,0,0,0,1,0,11.163382173096926
349,5,3.7,3,0,78500.0,10,0,0,0,0,0,0,0,0,0,11.270866642542865
350,11,3.3,3,0,57500.0,1,1,0,2,1,0,0,1,1,0,10.959557617938563
351,12,2.9,3,0,67500.0,3,1,0,1,0,0,0,0,1,0,11.119897691565697
352,1,4.1,3,0,97000.0,3,1,1,1,1,0,0,0,1,0,11.48247656671073
353,12,3.4,3,0,82500.0,5,1,0,0,1,0,0,1,0,0,11.320565693461432
354,1,4.1,3,0,109500.0,5,1,0,0,0,0,0,1,0,0,11.603688960617083
356,9,4.2,3,0,106500.0,4,1,0,0,0,0,0,0,0,0,11.575909653758895
357,6,4.1,3,0,106500.0,4,1,0,0,0,0,0,1,1,0,11.575909653758895
358,16,4.3,3,0,106500.0,5,1,0,0,0,0,0,0,0,0,11.575909653758895
359,14,4.2,3,0,64500.0,7,1,0,1,0,0,0,1,1,0,11.07443600653965
360,15,3.1,3,0,64500.0,3,0,1,0,0,1,0,0,1,0,11.07443600653965
361,11,3.0,3,0,84500.0,8,1,0,1,1,0,1,1,0,0,11.344518647594766
362,17,3.7,3,0,53500.0,3,2,0,0,0,0,0,0,0,0,10.887455624298198
363,1,3.9,3,0,77000.0,2,3,0,1,0,0,0,2,0,0,11.251573687764477
364,12,3.6,3,0,77000.0,1,1,0,1,2,0,0,2,1,0,11.251573687764477
365,4,3.8,3,0,77000.0,5,1,0,0,0,0,0,1,0,0,11.251573687764477
366,1,4.7,3,0,94000.0,5,0,1,4,0,0,0,0,1,0,11.451060699493427
367,22,3.0,3,0,48000.0,2,2,0,0,0,0,0,0,2,0,10.778977123006351
368,19,4.6,3,0,49500.0,3,1,0,2,0,0,0,2,0,0,10.809748150372926
369,5,3.5,4,0,54500.0,8,0,0,1,0,0,0,1,0,0,10.905974329106854
370,1,4.0,4,0,68000.0,3,2,0,0,0,0,0,0,2,0,11.127277689932466
371,23,2.5,4,0,92000.0,5,1,0,1,0,0,2,1,0,0,11.429554725537322
372,14,3.0,4,0,84000.0,2,1,0,0,0,0,0,0,0,0,11.338583982516495
373,12,4.2,4,0,67500.0,8,2,0,0,2,0,0,0,1,0,11.119897691565697
374,14,3.5,4,0,63000.0,5,2,0,1,1,0,0,1,0,0,11.050905878263567
375,11,3.4,4,0,75000.0,3,2,0,1,0,0,0,0,0,0,11.225256725762893
376,12,3.3,4,0,67000.0,4,1,0,0,0,0,0,0,0,0,11.112462823634855
377,11,3.2,4,0,58500.0,2,1,0,0,2,0,0,2,1,0,10.97679912709094
378,9,4.1,4,0,105000.0,3,1,0,1,1,0,0,1,0,0,11.561725152903833
379,9,3.1,4,0,91500.0,6,1,1,1,0,0,0,0,0,0,11.424105180165641
380,12,3.7,4,0,76000.0,5,1,0,3,1,0,0,0,1,0,11.23850177707664
381,21,3.4,4,0,53500.0,3,1,0,1,0,0,0,1,0,0,10.887455624298198
382,17,3.6,4,0,47500.0,3,2,0,0,0,0,0,0,0,0,10.768506042432708
383,21,3.3,4,0,59000.0,5,1,0,4,0,0,0,0,0,0,10.985309671896763
384,4,3.1,4,0,132500.0,7,1,2,2,3,0,0,1,1,0,11.794345471549745
385,12,4.2,4,0,56000.0,5,2,0,0,0,0,0,0,0,0,10.933124826700707
386,12,4.0,4,0,80500.0,3,1,1,0,0,0,0,1,0,0,11.296024885689746
387,12,3.8,4,0,58500.0,3,2,0,1,2,0,0,1,0,0,10.97679912709094
388,14,3.5,4,0,71000.0,5,2,1,1,1,0,0,1,0,0,11.170449240431308
390,12,5.0,4,0,69000.0,3,1,0,0,0,0,0,1,0,0,11.141876276228
391,5,4.0,4,0,92000.0,1,2,1,1,1,1,0,1,3,0,11.429554725537322
